SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,TEMPERATURE,HUMIDITY,PRESSURE,PITCH,ROLL,YAW
0,DC:A6:32:33:E9:E9,2020-07-05 23:56:49.066270,4d04fe82-bf27-11ea-8d41-dca63233e9e8,1,1,1,-61,1.8288,34.89756774902344,32.04783248901367,1011.427978515625,1.6838225236994426,359.42525836436363,160.001894138076
1,DC:A6:32:33:E9:E9,2020-07-05 23:56:50.225999,4d04fe82-bf27-11ea-8d41-dca63233e9e8,1,1,1,-74,1.8288,34.823516845703125,31.792757034301758,1011.422119140625,1.6835217819325505,359.44304497737517,159.99658025090173
2,DC:A6:32:33:E9:E9,2020-07-05 23:56:51.293498,4d04fe82-bf27-11ea-8d41-dca63233e9e8,1,1,1,-67,1.8288,34.91607666015625,33.054527282714844,1011.423583984375,1.6841987177123223,359.4628750442481,159.9818680234295
3,DC:A6:32:33:E9:E9,2020-07-05 23:56:52.067247,4d04fe82-bf27-11ea-8d41-dca63233e9e8,1,1,1,-74,1.8288,34.953102111816406,33.37421798706055,1011.412109375,1.687623844137672,359.4750604218925,159.9802560987854
4,DC:A6:32:33:E9:E9,2020-07-05 23:56:53.416038,4d04fe82-bf27-11ea-8d41-dca63233e9e8,1,1,1,-60,1.8288,35.008636474609375,32.10224914550781,1011.407470703125,1.689790081321624,359.6270875194906,159.96297572018526
5,DC:A6:32:33:E9:E9,2020-07-05 23:56:54.576029,4d04fe82-bf27-11ea-8d41-dca63233e9e8,1,1,1,-74,1.8288,34.86054229736328,31.802959442138672,1011.39892578125,1.6900709728512406,359.6237605770346,159.93163881227323
6,DC:A6:32:33:E9:E9,2020-07-05 23:56:55.103513,4d04fe82-bf27-11ea-8d41-dca63233e9e8,1,1,1,-67,1.8288,34.87905502319336,31.97300910949707,1011.390869140625,1.6860008204361479,359.62381380448534,159.90341647062274
7,DC:A6:32:33:E9:E9,2020-07-05 23:56:56.743546,4d04fe82-bf27-11ea-8d41-dca63233e9e8,1,1,1,-66,1.8288,34.86054229736328,31.483266830444336,1011.38134765625,1.684955267884607,359.6195480845444,159.8765055252929
8,DC:A6:32:33:E9:E9,2020-07-05 23:56:57.004793,4d04fe82-bf27-11ea-8d41-dca63233e9e8,1,1,1,-66,1.8288,34.971614837646484,31.59549903869629,1011.37744140625,1.689256366071011,359.6223118298786,159.8465346552149
9,DC:A6:32:33:E9:E9,2020-07-05 23:56:58.098542,4d04fe82-bf27-11ea-8d41-dca63233e9e8,1,1,1,-59,1.8288,34.86054229736328,32.30290603637695,1011.38232421875,1.6940948080460245,359.6168863918414,159.81726046443222
