SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,TEMPERATURE,HUMIDITY,PRESSURE,PITCH,ROLL,YAW
1,DC:A6:32:33:E9:E9,40:01.2,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-72,1.3208,33.91643143,36.32287979,1010.66333,4.988192165,0.768202635,159.1178081
2,DC:A6:32:33:E9:E9,40:02.1,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-60,1.3208,33.8979187,37.31937027,1010.666992,4.781002645,0.708327383,159.1162235
3,DC:A6:32:33:E9:E9,40:03.0,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-59,1.3208,33.95345306,36.70379257,1010.668213,4.587880327,0.645191195,159.1142564
4,DC:A6:32:33:E9:E9,40:04.1,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-59,1.3208,33.95345306,35.40121078,1010.677979,4.398497965,0.686964632,159.118696
5,DC:A6:32:33:E9:E9,40:05.1,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-59,1.3208,33.91643143,36.71399307,1010.679443,4.23267762,0.623805179,159.1270698
6,DC:A6:32:33:E9:E9,40:06.3,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-59,1.3208,34.00899124,36.34668732,1010.680664,4.075889347,0.555252972,159.1433803
7,DC:A6:32:33:E9:E9,40:07.1,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-60,1.3208,34.00899124,35.24476624,1010.679688,3.925323803,0.498854018,159.1603465
8,DC:A6:32:33:E9:E9,40:08.1,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-58,1.3208,33.97196579,38.76139069,1010.681396,3.790998742,0.445564936,159.1722584
9,DC:A6:32:33:E9:E9,40:09.1,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-60,1.3208,33.91643143,35.86034393,1010.685791,3.662461412,0.390670652,159.1782689
10,DC:A6:32:33:E9:E9,40:10.1,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-61,1.3208,34.00899124,36.47932434,1010.689453,3.548393197,0.334693383,159.1871619
11,DC:A6:32:33:E9:E9,40:11.1,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-68,1.3208,33.86089325,37.27515793,1010.690918,3.438277528,0.285783279,159.2049613
12,DC:A6:32:33:E9:E9,40:12.2,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-69,1.3208,33.95345306,36.50653458,1010.692139,3.332728267,0.233407681,159.2169142
13,DC:A6:32:33:E9:E9,40:13.3,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-60,1.3208,34.02750397,38.65256119,1010.683838,3.230632733,0.188933064,159.2312029
14,DC:A6:32:33:E9:E9,40:14.3,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-67,1.3208,33.97196579,37.64586639,1010.691162,3.146109142,0.144595678,159.2377053
15,DC:A6:32:33:E9:E9,40:15.1,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-63,1.3208,33.99047852,35.69369507,1010.687988,3.061453857,0.240421538,159.2437978
16,DC:A6:32:33:E9:E9,40:16.9,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-63,1.3208,34.00899124,36.50993347,1010.686768,2.977946256,0.189208993,159.2482101
17,DC:A6:32:33:E9:E9,40:17.0,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-59,1.3208,33.93494415,36.38409805,1010.690186,2.909891105,0.149087888,159.2477593
18,DC:A6:32:33:E9:E9,40:18.2,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-61,1.3208,34.02750397,35.53385162,1010.693604,2.843616072,0.109331398,159.2508465
19,DC:A6:32:33:E9:E9,40:20.0,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-61,1.3208,33.91643143,38.00297165,1010.699219,2.778285953,0.069800258,159.259357
20,DC:A6:32:33:E9:E9,40:21.1,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-56,1.3208,33.84238434,38.19682693,1010.703857,2.71590797,359.9249318,159.2939177
21,DC:A6:32:33:E9:E9,40:22.4,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-61,1.3208,33.99047852,35.87734985,1010.703613,2.659526252,359.9045358,159.3212248
22,DC:A6:32:33:E9:E9,40:23.1,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-60,1.3208,33.93494415,36.55754852,1010.696289,2.611254104,0.015723946,159.3404176
23,DC:A6:32:33:E9:E9,40:24.9,bea1880a-beee-11ea-9584-dca63233e9e8,1,1,1,-60,1.3208,33.95345306,35.28557587,1010.694336,2.558047784,359.9791493,159.3444338
