SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,TEMPERATURE,HUMIDITY,PRESSURE,PITCH,ROLL,YAW
11,DC:A6:32:33:E9:E9,2020-07-03 05:37:55.260707,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-76,1.048,37.32263946533203,34.19725799560547,1007.012451171875,1.8442063577470376,0.3939077349660664,164.6329126595064
12,DC:A6:32:33:E9:E9,2020-07-03 05:37:56.086925,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-54,1.048,37.285614013671875,33.32660675048828,1007.0185546875,1.8527615965693016,0.3971112804497875,164.6121352240512
13,DC:A6:32:33:E9:E9,2020-07-03 05:37:57.018184,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-50,1.048,37.24858856201172,32.43894577026367,1007.01611328125,1.8616897210315662,0.39647559260930026,164.59727273241725
14,DC:A6:32:33:E9:E9,2020-07-03 05:37:58.150698,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-50,1.048,37.24858856201172,34.49994659423828,1007.01953125,1.8576829613097074,0.39286244921879,164.5821370332165
15,DC:A6:32:33:E9:E9,2020-07-03 05:37:59.193250,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-50,1.048,37.39668273925781,33.79594039916992,1007.0185546875,1.857857984907189,0.38911054093033737,164.58536088250474
16,DC:A6:32:33:E9:E9,2020-07-03 05:38:00.896994,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-60,1.048,37.285614013671875,33.853759765625,1007.02294921875,1.867179485576964,0.39056942664836974,164.55605937096541
17,DC:A6:32:33:E9:E9,2020-07-03 05:38:01.005535,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-53,1.048,37.30412292480469,34.635986328125,1007.02685546875,1.8699132687922615,0.39336209356483226,164.5565101634506
18,DC:A6:32:33:E9:E9,2020-07-03 05:38:02.468260,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-53,1.048,37.2671012878418,34.207462310791016,1007.035888671875,1.8766433530022513,0.40328931995619627,164.579746467007
19,DC:A6:32:33:E9:E9,2020-07-03 05:38:03.009922,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-60,1.048,37.341148376464844,33.7313232421875,1007.02490234375,1.8874115731155994,0.4029718495619229,164.60492254428766
20,DC:A6:32:33:E9:E9,2020-07-03 05:38:04.642637,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-60,1.048,37.230079650878906,35.418216705322266,1007.0234375,1.9010879597114922,0.40974851779648624,164.63709273527843
21,DC:A6:32:33:E9:E9,2020-07-03 05:38:05.010766,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-53,1.048,37.30412292480469,33.16335678100586,1007.026123046875,1.9062037713998317,0.40398631941665486,164.66011047278138
22,DC:A6:32:33:E9:E9,2020-07-03 05:38:06.371404,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-53,1.048,37.341148376464844,34.95227813720703,1007.035888671875,1.9179418783753217,0.3962884294177861,164.66797885070523
23,DC:A6:32:33:E9:E9,2020-07-03 05:38:07.186448,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-50,1.048,37.230079650878906,33.884368896484375,1007.0302734375,1.9208323290547065,0.3963263156233385,164.66756903935504
