SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,TEMPERATURE,HUMIDITY,PRESSURE,PITCH,ROLL,YAW
0,DC:A6:32:33:E9:E9,2020-07-13 01:29:44.817324,858b6f1e-c4ab-11ea-99dc-dca63233e9e8,1,1,1,-52,2.1336,36.37852478027344,33.19056701660156,1005.241943359375,6.120684486957459,0.0719970774019573,161.46240714867815
1,DC:A6:32:33:E9:E9,2020-07-13 01:29:45.203062,858b6f1e-c4ab-11ea-99dc-dca63233e9e8,1,1,1,-49,2.1336,36.47108459472656,34.76182556152344,1005.250244140625,6.114550550195965,0.07123371705082243,161.46546707342634
2,DC:A6:32:33:E9:E9,2020-07-13 01:29:46.489273,858b6f1e-c4ab-11ea-99dc-dca63233e9e8,1,1,1,-50,2.1336,36.48959732055664,34.074825286865234,1005.261474609375,6.112164252854691,0.07694361512471425,161.45892375220146
3,DC:A6:32:33:E9:E9,2020-07-13 01:29:47.007981,858b6f1e-c4ab-11ea-99dc-dca63233e9e8,1,1,1,-52,2.1336,36.48959732055664,29.895002365112305,1005.26708984375,6.100724539768566,0.07896401709771575,161.45248971400332
4,DC:A6:32:33:E9:E9,2020-07-13 01:29:48.237913,858b6f1e-c4ab-11ea-99dc-dca63233e9e8,1,1,1,-52,2.1336,36.50811004638672,33.13615036010742,1005.261962890625,6.09932392410189,0.07678687428945435,161.472283602218
5,DC:A6:32:33:E9:E9,2020-07-13 01:29:49.117907,858b6f1e-c4ab-11ea-99dc-dca63233e9e8,1,1,1,-48,2.1336,36.434059143066406,33.836753845214844,1005.25830078125,6.102694195570469,0.08106936954851929,161.4762451119366
6,DC:A6:32:33:E9:E9,2020-07-13 01:29:50.370346,858b6f1e-c4ab-11ea-99dc-dca63233e9e8,1,1,1,-48,2.1336,36.415550231933594,33.571475982666016,1005.246826171875,6.1000675609477755,0.08284013611148477,161.48588933904466
7,DC:A6:32:33:E9:E9,2020-07-13 01:29:51.247803,858b6f1e-c4ab-11ea-99dc-dca63233e9e8,1,1,1,-49,2.1336,36.50811004638672,32.26549530029297,1005.244384765625,6.0934704519831895,0.08277239450874,161.49894866073774
8,DC:A6:32:33:E9:E9,2020-07-13 01:29:52.339019,858b6f1e-c4ab-11ea-99dc-dca63233e9e8,1,1,1,-50,2.1336,36.47108459472656,33.42523193359375,1005.2451171875,6.0859060174774005,0.0877799570368841,161.4984568871175
9,DC:A6:32:33:E9:E9,2020-07-13 01:29:53.576477,858b6f1e-c4ab-11ea-99dc-dca63233e9e8,1,1,1,-52,2.1336,36.47108459472656,32.07844161987305,1005.23828125,6.083524842778004,0.08817948975279678,161.49651711339322
