SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,TEMPERATURE,HUMIDITY,PRESSURE,PITCH,ROLL,YAW
0,DC:A6:32:33:E9:E9,2020-07-08 21:25:02.315563,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-49,2.1336,36.67471694946289,33.29259490966797,1011.520263671875,1.869078918496462,0.21686132093289484,159.971964249133
1,DC:A6:32:33:E9:E9,2020-07-08 21:25:03.089441,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-59,2.1336,36.71173858642578,31.636310577392578,1011.51513671875,1.8694669586186834,0.23097578679080719,159.9869770049287
2,DC:A6:32:33:E9:E9,2020-07-08 21:25:04.253255,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-49,2.1336,36.767276763916016,31.884584426879883,1011.508056640625,1.8693749645082998,0.23182398422793168,160.0016209305092
3,DC:A6:32:33:E9:E9,2020-07-08 21:25:05.228215,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-52,2.1336,36.82281494140625,34.34690475463867,1011.50146484375,1.8722790755660246,0.24113099742614677,160.00761783660047
4,DC:A6:32:33:E9:E9,2020-07-08 21:25:06.018230,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-59,2.1336,36.65620422363281,34.139442443847656,1011.509521484375,1.8758952338447232,0.2453641939272473,160.01526764847088
5,DC:A6:32:33:E9:E9,2020-07-08 21:25:08.023355,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-52,2.1336,36.71173858642578,36.03719711303711,1011.512451171875,1.877262125452372,0.290750560838144,160.02260327163947
6,DC:A6:32:33:E9:E9,2020-07-08 21:25:09.308320,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-52,2.1336,36.767276763916016,31.279207229614258,1011.51025390625,1.8709439870266986,0.29286837304809754,160.03138689491212
7,DC:A6:32:33:E9:E9,2020-07-08 21:25:10.408344,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-58,2.1336,36.74876403808594,33.33680725097656,1011.508056640625,1.875870474408982,0.37745055424347934,160.02920123437772
8,DC:A6:32:33:E9:E9,2020-07-08 21:25:11.158359,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-48,2.1336,36.804298400878906,33.00691223144531,1011.5146484375,1.866755160074777,0.470299505490398,160.01924281856785
9,DC:A6:32:33:E9:E9,2020-07-08 21:25:12.653438,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-57,2.1336,36.785789489746094,32.13285827636719,1011.5244140625,1.8726724517735351,0.4586744701621834,160.01239896901947
10,DC:A6:32:33:E9:E9,2020-07-08 21:25:13.068199,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-57,2.1336,36.6376953125,36.15623092651367,1011.522705078125,1.877306521681977,0.4447074536810213,160.0181773090573
11,DC:A6:32:33:E9:E9,2020-07-08 21:25:14.083467,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-53,2.1336,36.69322967529297,33.25178146362305,1011.532470703125,1.8809969582678996,0.4291138916820442,160.02245300747774
12,DC:A6:32:33:E9:E9,2020-07-08 21:25:15.370950,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-48,2.1336,36.69322967529297,34.544158935546875,1011.529541015625,1.886352680350836,0.4188918999393119,160.0295700645929
13,DC:A6:32:33:E9:E9,2020-07-08 21:25:16.016572,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-52,2.1336,36.767276763916016,33.15655517578125,1011.52392578125,1.889703955355785,0.40563821133959305,160.03638659338458
14,DC:A6:32:33:E9:E9,2020-07-08 21:25:17.170993,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-48,2.1336,36.6376953125,31.132965087890625,1011.5205078125,1.8901169683571593,0.3928320335326423,160.03549866879246
15,DC:A6:32:33:E9:E9,2020-07-08 21:25:18.112253,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-52,2.1336,36.730255126953125,34.74821853637695,1011.529541015625,1.8892930767885263,0.38310040134754925,160.0410721031552
16,DC:A6:32:33:E9:E9,2020-07-08 21:25:19.034767,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-48,2.1336,36.82281494140625,33.52046203613281,1011.535888671875,1.890159016709237,0.3743594133963725,160.0424381409892
17,DC:A6:32:33:E9:E9,2020-07-08 21:25:20.343625,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-52,2.1336,36.785789489746094,33.442237854003906,1011.528564453125,1.8894239175998144,0.3636417526911383,160.0435309712564
18,DC:A6:32:33:E9:E9,2020-07-08 21:25:21.291074,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-58,2.1336,36.74876403808594,32.734832763671875,1011.541259765625,1.8872884162671277,0.3550627682893378,160.0456756506558
19,DC:A6:32:33:E9:E9,2020-07-08 21:25:22.058623,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-52,2.1336,36.82281494140625,32.673614501953125,1011.543701171875,1.8881202052419883,0.34859540623855556,160.05410410409158
20,DC:A6:32:33:E9:E9,2020-07-08 21:25:23.252382,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-52,2.1336,36.767276763916016,34.18025588989258,1011.54296875,1.88901496002326,0.4473615157821002,160.07005942599272
21,DC:A6:32:33:E9:E9,2020-07-08 21:25:24.231746,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-57,2.1336,36.785789489746094,31.874380111694336,1011.53271484375,1.8899987207071534,0.4247738934338829,160.07695791705444
22,DC:A6:32:33:E9:E9,2020-07-08 21:25:25.428690,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-52,2.1336,36.74876403808594,36.771812438964844,1011.542724609375,1.8982145845050324,0.4031519691208555,159.95434236107437
23,DC:A6:32:33:E9:E9,2020-07-08 21:25:26.172438,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-52,2.1336,36.767276763916016,32.46275329589844,1011.540771484375,1.9036872735775052,0.3907249468541198,159.87754371404674
24,DC:A6:32:33:E9:E9,2020-07-08 21:25:27.016195,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-57,2.1336,36.85983657836914,32.2859001159668,1011.5322265625,1.912845703480846,0.3678075544350378,159.91330658454095
25,DC:A6:32:33:E9:E9,2020-07-08 21:25:28.421224,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-58,2.1336,36.730255126953125,32.870872497558594,1011.53076171875,1.9060716499280743,0.3585150820692355,159.95148734200131
26,DC:A6:32:33:E9:E9,2020-07-08 21:25:29.012483,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-58,2.1336,36.74876403808594,33.01371383666992,1011.52685546875,1.908919625368558,0.34650438117675314,159.9784392684662
27,DC:A6:32:33:E9:E9,2020-07-08 21:25:30.340005,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-48,2.1336,36.84132385253906,32.67701721191406,1011.52490234375,1.9121511586196203,0.3326899233740057,160.12651776967206
28,DC:A6:32:33:E9:E9,2020-07-08 21:25:31.388814,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-52,2.1336,36.767276763916016,33.27558898925781,1011.5322265625,1.920562109695668,0.3213439119455567,160.15807324363752
29,DC:A6:32:33:E9:E9,2020-07-08 21:25:32.220068,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-57,2.1336,36.6376953125,34.13603973388672,1011.537841796875,1.9248525357114938,0.3123629869193568,160.05637172689603
30,DC:A6:32:33:E9:E9,2020-07-08 21:25:33.041331,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-31,2.1336,36.804298400878906,32.745033264160156,1011.522216796875,1.9308680113795709,0.30159759493121185,160.08361052130604
31,DC:A6:32:33:E9:E9,2020-07-08 21:25:34.138849,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-52,2.1336,36.785789489746094,31.969608306884766,1011.512939453125,1.925838857716326,0.2856021456686882,160.0955496919752
32,DC:A6:32:33:E9:E9,2020-07-08 21:25:35.648885,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-59,2.1336,36.730255126953125,32.935489654541016,1011.51806640625,1.9201096096631545,0.16775938447436406,160.1150976933798
33,DC:A6:32:33:E9:E9,2020-07-08 21:25:36.014506,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-52,2.1336,36.785789489746094,32.153263092041016,1011.513427734375,1.9198342676622384,0.07481721181744531,160.12464629783946
34,DC:A6:32:33:E9:E9,2020-07-08 21:25:37.098933,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-52,2.1336,36.767276763916016,33.3912239074707,1011.5126953125,1.9137048132123866,0.09003115803885121,160.1344817702443
35,DC:A6:32:33:E9:E9,2020-07-08 21:25:38.527704,41d644ba-c14f-11ea-9c7c-dca63233e9e8,1,1,1,-48,2.1336,36.730255126953125,32.986507415771484,1011.509033203125,1.9080492031362046,0.10135267016571675,160.14408501621733
