SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,TEMPERATURE,HUMIDITY,PRESSURE,PITCH,ROLL,YAW
0,DC:A6:32:33:E9:E9,2020-07-03 02:12:54.814081,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-54,1.048,35.712093353271484,33.93538284301758,1006.40625,2.067112782961577,0.47060670392048987,163.09781398316767
1,DC:A6:32:33:E9:E9,2020-07-03 02:12:55.002859,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-54,1.048,35.61953353881836,35.9589729309082,1006.39697265625,2.0705001299030803,0.46322017449823844,163.0538958668045
2,DC:A6:32:33:E9:E9,2020-07-03 02:12:56.033256,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-57,1.048,35.712093353271484,36.81602478027344,1006.399169921875,2.065763607157088,0.4579195208154854,162.9942683153503
3,DC:A6:32:33:E9:E9,2020-07-03 02:12:57.327657,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-56,1.048,35.74911880493164,37.30916976928711,1006.401611328125,2.0673285742506673,0.4545221953944917,162.9329741977386
4,DC:A6:32:33:E9:E9,2020-07-03 02:12:58.061246,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-54,1.048,35.74911880493164,33.25178146362305,1006.3857421875,2.071794877637621,0.45713570324737357,162.87730815600298
5,DC:A6:32:33:E9:E9,2020-07-03 02:12:59.163293,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-55,1.048,35.675071716308594,33.700714111328125,1006.385009765625,2.0823163571672025,0.4501521016253,162.84874430489398
6,DC:A6:32:33:E9:E9,2020-07-03 02:13:00.270800,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-57,1.048,35.74911880493164,33.357215881347656,1006.3857421875,2.084497962276787,0.44829839895672907,162.81568618931112
7,DC:A6:32:33:E9:E9,2020-07-03 02:13:01.317076,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-60,1.048,35.74911880493164,33.357215881347656,1006.379638671875,2.0813031412925134,0.4437213984804536,162.7831471681052
8,DC:A6:32:33:E9:E9,2020-07-03 02:13:02.212075,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-59,1.048,35.656558990478516,35.547454833984375,1006.3759765625,2.0796756352793464,0.4470026106855572,162.7483678448515
9,DC:A6:32:33:E9:E9,2020-07-03 02:13:04.127125,fbfa8f3a-bce1-11ea-93df-dca63233e9e8,1,1,1,-56,1.048,35.76763153076172,34.68700408935547,1006.3837890625,2.0815631153677967,0.4503296865437203,162.70469561529842
