SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,TEMPERATURE,HUMIDITY,PRESSURE,PITCH,ROLL,YAW
0,DC:A6:32:33:E9:E9,2020-07-11 19:41:31.736756,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-49,1.8796,35.60102081298828,33.67690658569336,1001.151123046875,357.1779611356723,0.21777834053003514,162.89620045924724
1,DC:A6:32:33:E9:E9,2020-07-11 19:41:32.080903,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-54,1.8796,35.58251190185547,33.955787658691406,1001.150634765625,357.16931347585285,0.21176635999782234,162.88370121306613
2,DC:A6:32:33:E9:E9,2020-07-11 19:41:33.980921,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-54,1.8796,35.58251190185547,34.384315490722656,1001.152099609375,357.15622790062014,0.2084795048825256,162.8761606842224
3,DC:A6:32:33:E9:E9,2020-07-11 19:41:34.095890,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-48,1.8796,35.675071716308594,34.391117095947266,1001.159912109375,357.14424753537253,0.2034430274422213,162.86691260808624
4,DC:A6:32:33:E9:E9,2020-07-11 19:41:36.100911,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-47,1.8796,35.60102081298828,34.081626892089844,1001.155029296875,357.13669612091485,0.19300797915410955,162.8608610604816
5,DC:A6:32:33:E9:E9,2020-07-11 19:41:37.074633,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-48,1.8796,35.63804626464844,34.214263916015625,1001.14892578125,357.1319610922727,0.19178977756304075,162.84306158750454
6,DC:A6:32:33:E9:E9,2020-07-11 19:41:38.661440,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-47,1.8796,35.63804626464844,34.544158935546875,1001.150146484375,357.13195554274404,0.19283051429760822,162.83087653002525
7,DC:A6:32:33:E9:E9,2020-07-11 19:41:39.120793,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-47,1.8796,35.56399917602539,34.006805419921875,1001.14501953125,357.12778251060456,0.20251185387885173,162.68057138714994
8,DC:A6:32:33:E9:E9,2020-07-11 19:41:40.040783,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-49,1.8796,35.656558990478516,36.30247497558594,1001.14208984375,357.1318148835358,0.20264361516485216,162.6578951591055
9,DC:A6:32:33:E9:E9,2020-07-11 19:41:41.112007,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-56,1.8796,35.675071716308594,32.50016403198242,1001.147705078125,357.1339576419445,0.19788713545987874,162.64474021476406
10,DC:A6:32:33:E9:E9,2020-07-11 19:41:42.049540,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-47,1.8796,35.675071716308594,32.43214416503906,1001.149169921875,357.13138735638245,0.19609044886262159,162.64744496967538
11,DC:A6:32:33:E9:E9,2020-07-11 19:41:43.113211,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-57,1.8796,35.56399917602539,32.50696563720703,1001.15625,357.13416681648783,0.19502219126817574,162.66132391406884
12,DC:A6:32:33:E9:E9,2020-07-11 19:41:44.025678,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-58,1.8796,35.54548645019531,32.932090759277344,1001.1611328125,357.13825617880997,0.19552008804628587,162.66341395195488
13,DC:A6:32:33:E9:E9,2020-07-11 19:41:45.735657,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-50,1.8796,35.54548645019531,35.608673095703125,1001.16796875,357.140785483237,0.1991779611717318,162.66180202731076
14,DC:A6:32:33:E9:E9,2020-07-11 19:41:46.006695,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-48,1.8796,35.60102081298828,33.40822982788086,1001.1689453125,357.14224458239846,0.1986271437677673,162.66413795200688
15,DC:A6:32:33:E9:E9,2020-07-11 19:41:47.464412,8f35d1c6-c3c0-11ea-a4c9-dca63233e9e8,1,1,1,-47,1.8796,35.61953353881836,34.017005920410156,1001.169189453125,357.1420226012504,0.20341309200374963,162.6633593104415
