SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,TEMPERATURE,HUMIDITY,PRESSURE,PITCH,ROLL,YAW
0,DC:A6:32:33:E9:E9,2020-06-30 10:23:39.919049,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-44,1.048,37.415199279785156,35.66648864746094,1009.8876953125,0.31305118183908853,0.7435764413996659,121.862527624075
1,DC:A6:32:33:E9:E9,2020-06-30 10:23:40.003050,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-48,1.048,37.35966110229492,35.67329025268555,1009.88623046875,0.31960410801748107,0.7410186422772019,121.87333298334195
2,DC:A6:32:33:E9:E9,2020-06-30 10:23:41.077000,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-46,1.048,37.30412292480469,34.48974609375,1009.893310546875,0.31873702083843325,0.734520144168758,121.88322309726014
3,DC:A6:32:33:E9:E9,2020-06-30 10:23:42.270820,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-48,1.048,37.30412292480469,34.959083557128906,1009.894775390625,0.3197013581718744,0.7386469658096209,121.89602287176474
4,DC:A6:32:33:E9:E9,2020-06-30 10:23:43.136425,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-46,1.048,37.30412292480469,36.499732971191406,1009.894775390625,0.3206048374525937,0.7323478238475766,121.91537962787255
5,DC:A6:32:33:E9:E9,2020-06-30 10:23:44.054609,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-46,1.048,37.32263946533203,38.53692626953125,1009.885009765625,0.31747978578347485,0.7300104050475512,121.9327692894994
6,DC:A6:32:33:E9:E9,2020-06-30 10:23:45.138353,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-48,1.048,37.415199279785156,34.13603973388672,1009.884765625,0.31529970145819786,0.7303731521255024,121.94235887509411
7,DC:A6:32:33:E9:E9,2020-06-30 10:23:46.017068,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-46,1.048,37.35966110229492,34.445533752441406,1009.889404296875,0.3149081395196857,0.7330918875802849,121.94647064897445
8,DC:A6:32:33:E9:E9,2020-06-30 10:23:48.022118,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-48,1.048,37.285614013671875,37.101707458496094,1009.894775390625,0.3094814475024048,0.7257851859939579,121.95957095180255
9,DC:A6:32:33:E9:E9,2020-06-30 10:23:50.027178,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-46,1.048,37.341148376464844,35.46582794189453,1009.89599609375,0.306800731655307,0.7254971974709067,121.9598988008827
10,DC:A6:32:33:E9:E9,2020-06-30 10:23:51.659661,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-48,1.048,37.32263946533203,35.03050231933594,1009.885986328125,0.30468926938684754,0.7219595863676632,121.98186468925346
11,DC:A6:32:33:E9:E9,2020-06-30 10:23:52.448406,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-44,1.048,37.30412292480469,35.97597885131836,1009.880126953125,0.3049936663721627,0.7176806329352089,121.99004725587913
12,DC:A6:32:33:E9:E9,2020-06-30 10:23:54.083437,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-46,1.048,37.2671012878418,35.7855224609375,1009.86865234375,0.3029486383655521,0.7225416999118481,122.0012624264963
13,DC:A6:32:33:E9:E9,2020-06-30 10:23:55.057803,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-42,1.048,37.378173828125,37.42820358276367,1009.865234375,0.3094677871240648,0.7224541881131074,122.01646642758875
14,DC:A6:32:33:E9:E9,2020-06-30 10:23:57.063509,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-44,1.048,37.32263946533203,32.94569396972656,1009.86328125,0.30415699487926257,0.7241459939540077,122.02889737187817
15,DC:A6:32:33:E9:E9,2020-06-30 10:23:59.068525,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-44,1.048,37.30412292480469,37.31597137451172,1009.861328125,0.3087729487781482,0.7210862292884007,122.04075458027731
16,DC:A6:32:33:E9:E9,2020-06-30 10:24:00.008504,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-48,1.048,37.39668273925781,35.186946868896484,1009.859375,0.3166348433583767,0.7271125905704676,122.04235284454309
17,DC:A6:32:33:E9:E9,2020-06-30 10:24:02.013555,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-44,1.048,37.35966110229492,33.3912239074707,1009.855224609375,0.31673556196820796,0.7232706625231883,122.04497563718438
18,DC:A6:32:33:E9:E9,2020-06-30 10:24:03.349155,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-48,1.048,37.230079650878906,36.061004638671875,1009.8486328125,0.3186647702436192,0.7255273997136428,122.06537058204604
19,DC:A6:32:33:E9:E9,2020-06-30 10:24:04.041055,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-44,1.048,37.35966110229492,36.79901885986328,1009.844482421875,0.3232638621129914,0.7181253956440531,122.09110673483865
20,DC:A6:32:33:E9:E9,2020-06-30 10:24:05.767348,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-46,1.048,37.35966110229492,35.38420486450195,1009.849609375,0.31877079825831306,0.7148538417533228,122.09483601812548
21,DC:A6:32:33:E9:E9,2020-06-30 10:24:06.004834,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-45,1.048,37.378173828125,35.83313751220703,1009.855224609375,0.31519791563130883,0.7181987668167779,122.09490432001718
22,DC:A6:32:33:E9:E9,2020-06-30 10:24:07.433623,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-41,1.048,37.2671012878418,37.00307846069336,1009.855224609375,0.31557042774533894,0.7198514057916564,122.08541035707086
23,DC:A6:32:33:E9:E9,2020-06-30 10:24:09.438657,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-46,1.048,37.415199279785156,35.42161560058594,1009.853515625,0.3165503731282507,0.7222644369202279,122.07676333758162
24,DC:A6:32:33:E9:E9,2020-06-30 10:24:10.475505,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-42,1.048,37.35966110229492,37.094905853271484,1009.8623046875,0.3198558111605666,0.7194497586519479,122.06956431819643
25,DC:A6:32:33:E9:E9,2020-06-30 10:24:11.038218,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-44,1.048,37.2671012878418,35.91136169433594,1009.869384765625,0.3173334703248485,0.7159864792167813,122.05076763760056
26,DC:A6:32:33:E9:E9,2020-06-30 10:24:12.244915,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-46,1.048,37.32263946533203,35.06791305541992,1009.865234375,0.3078672817024604,0.714670066975967,122.03012680592877
27,DC:A6:32:33:E9:E9,2020-06-30 10:24:13.644937,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-44,1.048,37.230079650878906,33.938785552978516,1009.86962890625,0.30180516864895673,0.7112559862471656,122.01967661649866
28,DC:A6:32:33:E9:E9,2020-06-30 10:24:14.070998,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-44,1.048,37.2671012878418,35.33999252319336,1009.867919921875,0.303244097408008,0.7113559311246299,122.01414416327094
29,DC:A6:32:33:E9:E9,2020-06-30 10:24:16.076155,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-48,1.048,37.285614013671875,36.904449462890625,1009.869873046875,0.3101183092816556,0.7098743136832661,122.00869367231327
30,DC:A6:32:33:E9:E9,2020-06-30 10:24:18.081297,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-46,1.048,37.341148376464844,33.41843032836914,1009.874755859375,0.3112034555860414,0.715745875131097,122.02251797519338
31,DC:A6:32:33:E9:E9,2020-06-30 10:24:20.085664,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-48,1.048,37.39668273925781,35.8569450378418,1009.87353515625,0.3111454256585227,0.7139620751798129,122.02734008874741
32,DC:A6:32:33:E9:E9,2020-06-30 10:24:21.031296,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-49,1.048,37.24858856201172,34.850250244140625,1009.867431640625,0.3141682646139294,0.7159194579855505,122.02359714508223
33,DC:A6:32:33:E9:E9,2020-06-30 10:24:22.220079,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-46,1.048,37.32263946533203,37.81591796875,1009.863525390625,0.3195231862840723,0.7166582389938226,122.02311903184034
34,DC:A6:32:33:E9:E9,2020-06-30 10:24:23.434777,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-46,1.048,37.32263946533203,35.295780181884766,1009.87060546875,0.31765969189899596,0.7194253727421769,122.01914386174339
35,DC:A6:32:33:E9:E9,2020-06-30 10:24:24.125098,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-44,1.048,37.19305419921875,36.499732971191406,1009.871826171875,0.31684228367398937,0.7255200892767968,122.01038755922744
36,DC:A6:32:33:E9:E9,2020-06-30 10:24:26.130134,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-49,1.048,37.285614013671875,35.44882583618164,1009.87255859375,0.31882247824433774,0.7234477138330797,122.01903457871667
37,DC:A6:32:33:E9:E9,2020-06-30 10:24:27.201389,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-42,1.048,37.30412292480469,37.36018371582031,1009.873291015625,0.32546078178735544,0.7250262345832931,122.02209450346484
38,DC:A6:32:33:E9:E9,2020-06-30 10:24:28.521414,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-46,1.048,37.43370819091797,35.70389938354492,1009.869873046875,0.32667263343693026,0.7245312593118788,122.02657510756036
39,DC:A6:32:33:E9:E9,2020-06-30 10:24:30.210191,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-44,1.048,37.39668273925781,34.0272102355957,1009.865966796875,0.3340290673381513,0.7252609689751595,122.0201000882272
40,DC:A6:32:33:E9:E9,2020-06-30 10:24:31.901452,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-49,1.048,37.30412292480469,37.724090576171875,1009.857666015625,0.3446997971732682,0.7205670281897739,122.0264521641553
41,DC:A6:32:33:E9:E9,2020-06-30 10:24:32.035574,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-42,1.048,37.30412292480469,35.75831604003906,1009.86962890625,0.34582181582700144,0.7260851807089096,122.02906129641825
42,DC:A6:32:33:E9:E9,2020-06-30 10:24:33.476470,f9fbd838-baac-11ea-9907-dca63233e9e8,1,1,1,-48,1.048,37.2671012878418,35.8127326965332,1009.869140625,0.34448328551266405,0.728490901400635,122.02541397540146
