SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
45,DC:A6:32:33:E9:E9,2020-06-25 00:06:40.136987,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-34
46,DC:A6:32:33:E9:E9,2020-06-25 00:06:41.144368,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-22
47,DC:A6:32:33:E9:E9,2020-06-25 00:06:42.247560,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-22
48,DC:A6:32:33:E9:E9,2020-06-25 00:06:43.079385,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
49,DC:A6:32:33:E9:E9,2020-06-25 00:06:45.084473,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-13
50,DC:A6:32:33:E9:E9,2020-06-25 00:06:46.024390,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
51,DC:A6:32:33:E9:E9,2020-06-25 00:06:48.029470,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-31
52,DC:A6:32:33:E9:E9,2020-06-25 00:06:49.021912,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-31
53,DC:A6:32:33:E9:E9,2020-06-25 00:06:50.064420,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-31
54,DC:A6:32:33:E9:E9,2020-06-25 00:06:52.006754,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
55,DC:A6:32:33:E9:E9,2020-06-25 00:06:54.011843,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
56,DC:A6:32:33:E9:E9,2020-06-25 00:06:56.016966,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-31
57,DC:A6:32:33:E9:E9,2020-06-25 00:06:57.170643,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
58,DC:A6:32:33:E9:E9,2020-06-25 00:06:59.175677,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
59,DC:A6:32:33:E9:E9,2020-06-25 00:07:01.183710,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
60,DC:A6:32:33:E9:E9,2020-06-25 00:07:02.003136,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
61,DC:A6:32:33:E9:E9,2020-06-25 00:07:03.631888,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
