SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
44,DC:A6:32:33:E9:E9,2020-06-25 16:33:58.288284,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
45,DC:A6:32:33:E9:E9,2020-06-25 16:33:59.575839,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
46,DC:A6:32:33:E9:E9,2020-06-25 16:34:00.868305,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
47,DC:A6:32:33:E9:E9,2020-06-25 16:34:01.051889,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
48,DC:A6:32:33:E9:E9,2020-06-25 16:34:02.112103,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
49,DC:A6:32:33:E9:E9,2020-06-25 16:34:04.117065,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
50,DC:A6:32:33:E9:E9,2020-06-25 16:34:06.028267,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
51,DC:A6:32:33:E9:E9,2020-06-25 16:34:07.233265,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
52,DC:A6:32:33:E9:E9,2020-06-25 16:34:08.844518,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
53,DC:A6:32:33:E9:E9,2020-06-25 16:34:09.024325,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
54,DC:A6:32:33:E9:E9,2020-06-25 16:34:11.029531,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
55,DC:A6:32:33:E9:E9,2020-06-25 16:34:12.030746,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
56,DC:A6:32:33:E9:E9,2020-06-25 16:34:13.326992,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
57,DC:A6:32:33:E9:E9,2020-06-25 16:34:14.068246,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
58,DC:A6:32:33:E9:E9,2020-06-25 16:34:15.056992,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
59,DC:A6:32:33:E9:E9,2020-06-25 16:34:16.345853,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
60,DC:A6:32:33:E9:E9,2020-06-25 16:34:17.635761,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
