SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
41,DC:A6:32:33:E9:E9,2020-06-26 21:45:35.210573,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
42,DC:A6:32:33:E9:E9,2020-06-26 21:45:36.056736,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
43,DC:A6:32:33:E9:E9,2020-06-26 21:45:37.342499,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
44,DC:A6:32:33:E9:E9,2020-06-26 21:45:38.385595,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
45,DC:A6:32:33:E9:E9,2020-06-26 21:45:39.163742,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
46,DC:A6:32:33:E9:E9,2020-06-26 21:45:40.156849,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
47,DC:A6:32:33:E9:E9,2020-06-26 21:45:41.213036,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
48,DC:A6:32:33:E9:E9,2020-06-26 21:45:42.464910,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
49,DC:A6:32:33:E9:E9,2020-06-26 21:45:43.024273,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-20,0.123825
50,DC:A6:32:33:E9:E9,2020-06-26 21:45:44.055045,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
51,DC:A6:32:33:E9:E9,2020-06-26 21:45:45.086853,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
52,DC:A6:32:33:E9:E9,2020-06-26 21:45:46.133027,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-22,0.123825
53,DC:A6:32:33:E9:E9,2020-06-26 21:45:47.418781,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
54,DC:A6:32:33:E9:E9,2020-06-26 21:45:48.526840,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
55,DC:A6:32:33:E9:E9,2020-06-26 21:45:49.084417,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
56,DC:A6:32:33:E9:E9,2020-06-26 21:45:50.173103,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
57,DC:A6:32:33:E9:E9,2020-06-26 21:45:51.276869,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
58,DC:A6:32:33:E9:E9,2020-06-26 21:45:52.353788,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
59,DC:A6:32:33:E9:E9,2020-06-26 21:45:53.123098,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
