SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,TEMPERATURE,HUMIDITY,PRESSURE,PITCH,ROLL,YAW
0,DC:A6:32:33:E9:E9,2020-07-02 08:56:49.417586,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-51,0.97155,36.397037506103516,34.37070846557617,1008.385498046875,0.056784138366649715,359.8068783622292,155.16643439440878
1,DC:A6:32:33:E9:E9,2020-07-02 08:56:50.457841,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-53,0.97155,36.415550231933594,32.98310470581055,1008.388916015625,0.05866440139974696,359.8085447282835,155.14072556237286
2,DC:A6:32:33:E9:E9,2020-07-02 08:56:51.562905,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-51,0.97155,36.434059143066406,32.7552375793457,1008.3994140625,0.050695061407169714,359.8003119757757,155.10169786145542
3,DC:A6:32:33:E9:E9,2020-07-02 08:56:52.039868,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-51,0.97155,36.50811004638672,35.92156219482422,1008.40185546875,0.04701282905237915,359.8032693543048,155.06460993426225
4,DC:A6:32:33:E9:E9,2020-07-02 08:56:53.806809,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-51,0.97155,36.52661895751953,35.33999252319336,1008.40380859375,0.047406145228930066,359.8044429729033,155.00069302400925
5,DC:A6:32:33:E9:E9,2020-07-02 08:56:54.079315,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-53,0.97155,36.50811004638672,35.044105529785156,1008.409423828125,0.0415349439668562,359.80333636219586,154.9373635100249
6,DC:A6:32:33:E9:E9,2020-07-02 08:56:55.023742,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-51,0.97155,36.48959732055664,33.52046203613281,1008.418701171875,0.037569118689271264,359.8103334774539,154.8710833543191
7,DC:A6:32:33:E9:E9,2020-07-02 08:56:56.658266,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-50,0.97155,36.397037506103516,33.10894012451172,1008.41845703125,0.03129491625584681,359.8109714064502,154.84709572995402
8,DC:A6:32:33:E9:E9,2020-07-02 08:56:57.068281,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-51,0.97155,36.397037506103516,34.68700408935547,1008.423583984375,0.03128060220705887,359.81314083194513,154.8385579934915
9,DC:A6:32:33:E9:E9,2020-07-02 08:56:59.073467,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-51,0.97155,36.48959732055664,34.3162956237793,1008.435546875,0.03265883633100026,359.81203119300926,154.832110294915
10,DC:A6:32:33:E9:E9,2020-07-02 08:57:00.377274,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-51,0.97155,36.545135498046875,32.867469787597656,1008.445556640625,0.029778027290722178,359.81292233259273,154.7912247825433
11,DC:A6:32:33:E9:E9,2020-07-02 08:57:01.277329,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-53,0.97155,36.48959732055664,34.43872833251953,1008.449951171875,0.03279705428020046,359.80423381170016,154.77118500751848
12,DC:A6:32:33:E9:E9,2020-07-02 08:57:02.366135,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-49,0.97155,36.50811004638672,34.06462097167969,1008.445068359375,0.02922990127477535,359.81177875615447,154.7241523248938
13,DC:A6:32:33:E9:E9,2020-07-02 08:57:03.137466,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-53,0.97155,36.415550231933594,34.527156829833984,1008.447265625,0.03310015392977969,359.81840953581724,154.65199820650176
14,DC:A6:32:33:E9:E9,2020-07-02 08:57:04.020031,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-51,0.97155,36.415550231933594,33.70411682128906,1008.454345703125,0.03636397049684086,359.81545654621823,154.5927258248844
15,DC:A6:32:33:E9:E9,2020-07-02 08:57:05.253860,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-51,0.97155,36.50811004638672,35.02029800415039,1008.456787109375,0.047459966319176976,359.81816451612093,154.57308220083144
16,DC:A6:32:33:E9:E9,2020-07-02 08:57:06.705239,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-53,0.97155,36.397037506103516,36.067806243896484,1008.45947265625,0.04634104926501798,359.8192522237463,154.53991480222186
17,DC:A6:32:33:E9:E9,2020-07-02 08:57:07.160011,f9a060e2-bc1f-11ea-9f4a-dca63233e9e8,1,1,1,-51,0.97155,36.50811004638672,32.64300537109375,1008.455078125,0.03972726836895687,359.8132265561553,154.51016249819727
