SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:33:E9:E9,2020-06-27 04:26:36.461935,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
1,DC:A6:32:33:E9:E9,2020-06-27 04:26:37.016752,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
2,DC:A6:32:33:E9:E9,2020-06-27 04:26:38.102309,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
3,DC:A6:32:33:E9:E9,2020-06-27 04:26:39.328128,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
4,DC:A6:32:33:E9:E9,2020-06-27 04:26:40.176745,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-41,0.97155
5,DC:A6:32:33:E9:E9,2020-06-27 04:26:41.266799,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
6,DC:A6:32:33:E9:E9,2020-06-27 04:26:42.071754,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
7,DC:A6:32:33:E9:E9,2020-06-27 04:26:43.171073,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
8,DC:A6:32:33:E9:E9,2020-06-27 04:26:44.280613,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
9,DC:A6:32:33:E9:E9,2020-06-27 04:26:45.065482,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
10,DC:A6:32:33:E9:E9,2020-06-27 04:26:46.218067,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-41,0.97155
11,DC:A6:32:33:E9:E9,2020-06-27 04:26:47.036156,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
12,DC:A6:32:33:E9:E9,2020-06-27 04:26:49.040678,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-41,0.97155
13,DC:A6:32:33:E9:E9,2020-06-27 04:26:50.221791,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
14,DC:A6:32:33:E9:E9,2020-06-27 04:26:51.051784,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
15,DC:A6:32:33:E9:E9,2020-06-27 04:26:52.521201,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-41,0.97155
16,DC:A6:32:33:E9:E9,2020-06-27 04:26:54.030532,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
17,DC:A6:32:33:E9:E9,2020-06-27 04:26:56.035660,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
18,DC:A6:32:33:E9:E9,2020-06-27 04:26:57.097021,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-41,0.97155
19,DC:A6:32:33:E9:E9,2020-06-27 04:26:58.432014,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
20,DC:A6:32:33:E9:E9,2020-06-27 04:26:59.288252,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-41,0.97155
21,DC:A6:32:33:E9:E9,2020-06-27 04:27:00.784510,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
22,DC:A6:32:33:E9:E9,2020-06-27 04:27:01.012717,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-41,0.97155
23,DC:A6:32:33:E9:E9,2020-06-27 04:27:03.018394,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
24,DC:A6:32:33:E9:E9,2020-06-27 04:27:04.378354,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
25,DC:A6:32:33:E9:E9,2020-06-27 04:27:05.260709,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
26,DC:A6:32:33:E9:E9,2020-06-27 04:27:06.820180,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
27,DC:A6:32:33:E9:E9,2020-06-27 04:27:07.066930,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
28,DC:A6:32:33:E9:E9,2020-06-27 04:27:09.072146,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
29,DC:A6:32:33:E9:E9,2020-06-27 04:27:11.077119,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
30,DC:A6:32:33:E9:E9,2020-06-27 04:27:12.498388,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
31,DC:A6:32:33:E9:E9,2020-06-27 04:27:13.314604,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
32,DC:A6:32:33:E9:E9,2020-06-27 04:27:14.168322,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-41,0.97155
33,DC:A6:32:33:E9:E9,2020-06-27 04:27:15.042009,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
34,DC:A6:32:33:E9:E9,2020-06-27 04:27:16.128358,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
35,DC:A6:32:33:E9:E9,2020-06-27 04:27:17.279635,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
36,DC:A6:32:33:E9:E9,2020-06-27 04:27:18.310798,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
37,DC:A6:32:33:E9:E9,2020-06-27 04:27:20.316003,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
38,DC:A6:32:33:E9:E9,2020-06-27 04:27:21.019586,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
39,DC:A6:32:33:E9:E9,2020-06-27 04:27:22.045871,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
40,DC:A6:32:33:E9:E9,2020-06-27 04:27:23.322235,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
41,DC:A6:32:33:E9:E9,2020-06-27 04:27:24.289714,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-41,0.97155
42,DC:A6:32:33:E9:E9,2020-06-27 04:27:25.618998,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
43,DC:A6:32:33:E9:E9,2020-06-27 04:27:26.195855,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
44,DC:A6:32:33:E9:E9,2020-06-27 04:27:27.555973,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
45,DC:A6:32:33:E9:E9,2020-06-27 04:27:28.374762,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
46,DC:A6:32:33:E9:E9,2020-06-27 04:27:30.007187,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-41,0.97155
47,DC:A6:32:33:E9:E9,2020-06-27 04:27:31.337203,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
48,DC:A6:32:33:E9:E9,2020-06-27 04:27:32.067265,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-48,0.97155
49,DC:A6:32:33:E9:E9,2020-06-27 04:27:34.072373,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
50,DC:A6:32:33:E9:E9,2020-06-27 04:27:36.077283,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
51,DC:A6:32:33:E9:E9,2020-06-27 04:27:37.047328,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
52,DC:A6:32:33:E9:E9,2020-06-27 04:27:38.048504,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
53,DC:A6:32:33:E9:E9,2020-06-27 04:27:39.497415,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
54,DC:A6:32:33:E9:E9,2020-06-27 04:27:41.122379,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
55,DC:A6:32:33:E9:E9,2020-06-27 04:27:42.126085,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
56,DC:A6:32:33:E9:E9,2020-06-27 04:27:44.131258,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
57,DC:A6:32:33:E9:E9,2020-06-27 04:27:45.193597,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
58,DC:A6:32:33:E9:E9,2020-06-27 04:27:46.287420,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-41,0.97155
59,DC:A6:32:33:E9:E9,2020-06-27 04:27:47.053012,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
60,DC:A6:32:33:E9:E9,2020-06-27 04:27:49.058779,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
61,DC:A6:32:33:E9:E9,2020-06-27 04:27:51.063745,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
62,DC:A6:32:33:E9:E9,2020-06-27 04:27:52.488721,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
63,DC:A6:32:33:E9:E9,2020-06-27 04:27:54.493818,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
64,DC:A6:32:33:E9:E9,2020-06-27 04:27:55.197406,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
65,DC:A6:32:33:E9:E9,2020-06-27 04:27:56.372615,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-49,0.97155
66,DC:A6:32:33:E9:E9,2020-06-27 04:27:57.706301,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
67,DC:A6:32:33:E9:E9,2020-06-27 04:27:58.034303,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
68,DC:A6:32:33:E9:E9,2020-06-27 04:27:59.140113,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-41,0.97155
69,DC:A6:32:33:E9:E9,2020-06-27 04:28:00.073108,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
70,DC:A6:32:33:E9:E9,2020-06-27 04:28:01.708999,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
71,DC:A6:32:33:E9:E9,2020-06-27 04:28:02.316900,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
72,DC:A6:32:33:E9:E9,2020-06-27 04:28:03.058744,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
73,DC:A6:32:33:E9:E9,2020-06-27 04:28:04.538933,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
